,start station name,start station id,start station latitude,start station longitude,count
163,Adam Clayton Powell Blvd & W 115 St,3511,40.802535,-73.9532423,8453
164,Adam Clayton Powell Blvd & W 118 St,3520,40.804372,-73.951475,10057
165,Adam Clayton Powell Blvd & W 123 St,3510,40.8078316,-73.949373,11309
166,Adam Clayton Powell Blvd & W 126 St,3629,40.80949534777948,-73.94776493310928,15534
167,Adam Clayton Powell Blvd & W 130 St,4016,40.812346,-73.946168,5088
168,Adam Clayton Powell Blvd & W 132 St,3928,40.813539,-73.94521,5998
169,Adam Clayton Powell Blvd & W 138 St,3999,40.81695971032464,-73.9422959089279,7778
170,Adam Clayton Powell Blvd & W 141 St,4023,40.819241,-73.941057,5714
171,Adam Clayton Powell Blvd & W 151 St,4041,40.825289,-73.936232,1520
172,Adelphi St & Myrtle Ave,270,40.69308257,-73.97178913,14167
173,Albany Ave & Fulton St,3044,40.6800105,-73.938475,5118
174,Alexander Ave & E 134 St,3922,40.807466,-73.927107,1365
175,Allen St & Hester St,361,40.71605866,-73.99190759,44205
176,Allen St & Rivington St,401,40.72019576,-73.98997825,45609
177,Allen St & Stanton St,312,40.722055,-73.989111,47053
178,Amsterdam Ave & W 119 St,3542,40.8086249,-73.9596214,7140
179,Amsterdam Ave & W 125 St,3541,40.813358,-73.956461,11184
180,Amsterdam Ave & W 131 St,3935,40.816355,-73.954295,3016
181,Amsterdam Ave & W 136 St,3945,40.819746,-73.951819,3702
182,Amsterdam Ave & W 152 St,3980,40.829523,-73.944279,1717
183,Amsterdam Ave & W 156 St,4047,40.832081,-73.942386,1221
184,Amsterdam Ave & W 162 St,4052,40.83618,-73.939789,1811
185,Amsterdam Ave & W 167 St,4057,40.839443,-73.937044,1372
186,Amsterdam Ave & W 172 St,4060,40.842173,-73.935111,1321
187,Amsterdam Ave & W 175 St,4062,40.844044,-73.933651,913
188,Amsterdam Ave & W 180 St,4067,40.847396,-73.931205,878
189,Amsterdam Ave & W 183 St,4109,40.84925,-73.93022,1668
190,Amsterdam Ave & W 66 St,3356,40.7746671,-73.98470567,15327
191,Amsterdam Ave & W 73 St,3167,40.77966809007312,-73.98093044757842,54855
192,Amsterdam Ave & W 79 St,3360,40.7829391,-73.9786517,18689
193,Amsterdam Ave & W 82 St,3171,40.78524672,-73.97667321,34408
194,Anderson Ave & W 164 St,4129,40.832057,-73.927421,202
195,Astoria Park S & Shore Blvd,3514,40.7767,-73.927631,18523
196,Atlantic Ave & Fort Greene Pl,83,40.68382604,-73.97632328,18797
197,Atlantic Ave & Furman St,398,40.69165183,-73.9999786,31798
198,Audobon Ave & W 179 St,4066,40.847305,-73.933291,792
199,Avenue C & E 18 St,3733,40.730563,-73.973984,26561
200,Avenue D & E 10 St,4110,40.72506551015475,-73.97515833377838,7352
201,Avenue D & E 12 St,339,40.72580614,-73.97422494,8222
202,Avenue D & E 3 St,302,40.72082834,-73.97793172,25243
203,Avenue D & E 8 St,3918,40.72387,-73.975767,19657
204,Avenue D & E 8 St (home location),266,40.72368361,-73.97574813,642
205,Baltic St & 5 Ave,3417,40.6795766,-73.97854971,14092
206,Bank St & Hudson St,346,40.73652889,-74.00618026,38629
207,Bank St & Washington St,238,40.7361967,-74.00859207,36031
208,Banker St & Meserole Ave,3109,40.72606,-73.95621,11336
209,Barclay St & Church St,417,40.71291224,-74.01020234,21139
210,Barrow St & Hudson St,127,40.73172428,-74.00674436,47623
211,Barry St & Tiffany St,4142,40.816126,-73.891559,43
212,Battery Pl & Greenwich St,3908,40.70463,-74.01507,564
213,Bayard St & Baxter St,355,40.71602118,-73.99974372,31868
214,Bayard St & Leonard St,3452,40.71915571696044,-73.94885390996933,11949
215,Beaver St & Fayette St,3823,40.70099,-73.93921,7996
216,Beck St & Leggett Ave,4133,40.815077,-73.899939,381
217,Bedford Ave & Bergen St,3571,40.676368,-73.952918,18910
218,Bedford Ave & Montgomery St,3803,40.665816,-73.956934,5460
219,Bedford Ave & Nassau Ave,3107,40.72311651,-73.95212324,26678
220,Bedford Ave & S 9 St,443,40.70853074,-73.96408963,8391
221,Bergen Ave & E 152 St,3982,40.817166,-73.914737,656
222,Bergen St & Flatbush Ave,3414,40.680944723477296,-73.97567331790923,14373
223,Bergen St & Smith St,3409,40.6867443,-73.99063168,26821
224,Bergen St & Vanderbilt Ave,3558,40.6794388,-73.9680438,18074
225,Berkeley Pl & 6 Ave,3339,40.6765304,-73.97846879,8122
226,Berkeley Pl & 7 Ave,3346,40.675146838709786,-73.97523209452629,12320
227,Berry St & N 8 St,3092,40.7190095,-73.95852515,25893
228,Bialystoker Pl & Delancey St,356,40.71622644,-73.98261206,14754
229,Boerum St & Broadway,3071,40.70538077,-73.94976519,9598
230,Bond St & Bergen St,3411,40.6849668,-73.98620772,10550
231,Bond St & Fulton St,3232,40.68962188790333,-73.98304268717766,25080
232,Boone Ave & E 172 St,4163,40.832649,-73.885272,258
233,Boston Rd & E 167 St,4171,40.828199,-73.903719,255
234,Boston Rd & Prospect Ave,4157,40.833246,-73.896599,226
235,Bradhurst Ave & W 148 St,4020,40.825125,-73.941616,7977
236,Broad St & Bridge St,260,40.70365182,-74.01167797,13774
237,Broadway & 12 St,3589,40.7668,-73.9347774,5918
238,Broadway & Battery Pl,304,40.70463334,-74.01361706,33223
239,Broadway & Berry St,389,40.71044554,-73.96525063,21001
240,Broadway & E 14 St,285,40.73454567,-73.99074142,74733
241,Broadway & E 22 St,402,40.7403432,-73.98955109,78267
242,Broadway & Furman Ave,3825,40.68139,-73.90756,1977
243,Broadway & Hancock St,3831,40.68663,-73.9168,5428
244,Broadway & Kosciuszko St,3837,40.69329,-73.92852,7151
245,Broadway & Madison St,3879,40.68822,-73.91966,7301
246,Broadway & Moylan Pl,3547,40.8143256,-73.9590255,11047
247,Broadway & Roebling St,3078,40.70924826276157,-73.96063148975372,16723
248,Broadway & W 122 St,3545,40.8120562,-73.9612547,7022
249,Broadway & W 131 St,4018,40.817555,-73.957163,2957
250,Broadway & W 133 St,3942,40.8190344,-73.956156,3401
251,Broadway & W 153 St,4035,40.831327,-73.946665,2419
252,Broadway & W 155 St,4188,40.83299,-73.94592,1463
253,Broadway & W 160 St,4071,40.835775,-73.9434,3845
254,Broadway & W 165 St,4056,40.839137,-73.941409,2607
255,Broadway & W 25 St,3641,40.74286877312112,-73.98918628692627,73000
256,Broadway & W 29 St,486,40.7462009,-73.98855723,43205
257,Broadway & W 36 St,267,40.75097711,-73.98765428,23169
258,Broadway & W 37 St,362,40.75172632,-73.98753523,19623
259,Broadway & W 38 St,533,40.75299641,-73.98721619,29098
260,Broadway & W 41 St,465,40.75513557,-73.98658032,44815
261,Broadway & W 49 St,173,40.76068327096592,-73.9845272898674,46299
262,Broadway & W 51 St,500,40.76228826,-73.98336183,26397
263,Broadway & W 53 St,469,40.76344058,-73.98268129,30855
264,Broadway & W 56 St,468,40.7652654,-73.98192338,69661
265,Broadway & W 58 St,457,40.76695317,-73.98169333,7544
266,Broadway & W 60 St,499,40.76915505,-73.98191841,91856
267,Broadway & Whipple St,3067,40.7016657,-73.9437303,11397
268,Bronx Shore Comfort Station,4115,40.80046,-73.92404,670
269,Brook Ave & E 138 St,3949,40.807408,-73.91924,2011
270,Brook Ave & E 141 St,3950,40.809619,-73.917875,925
271,Brook Ave & E 148 St,3964,40.814383,-73.915368,956
272,Brook Ave & E 157 St,3975,40.820713,-73.911759,1033
273,Brooklyn Bridge Park - Pier 2,3782,40.698458,-73.997178,21146
274,Bruckner Blvd & Bryant Ave,4245,40.821952,-73.888546,105
275,Bus Slip & State St,427,40.701907,-74.013942,18296
276,Bushwick Ave & Dekalb Ave,3842,40.69502,-73.92825,5097
277,Bushwick Ave & Forrest St,3822,40.70076,-73.93641,4886
278,Bushwick Ave & Furman Ave,3871,40.68281,-73.90623,1669
279,Bushwick Ave & Harman St,3838,40.69356,-73.92524,5364
280,Bushwick Ave & Linden St,3836,40.69146,-73.92146,4678
281,Bushwick Ave & McKibbin St,3764,40.705517,-73.93936,3702
