start_station_name,count,start_station_id,start_lat,start_lng
5 Ave & W 126 St,7005,7372.1,40.785785,-73.957481
5 Ave & W 131 St,8611,7701.21,40.80722,-73.9418
5 St & 51 Ave,4918,7735.05,40.81014,-73.93973
5 St & 6 Ave,9302,6137.04,40.742373,-73.9566
5 St & Market St,408,3874.01,40.670483,-73.982089
50 St & 30 Ave,3466,4843.01,40.69999748,-73.97440128
50 St & Northern Blvd,3677,6735.03,40.760083,-73.907107
51 St &  Hobart St,160,6511.03,40.753441,-73.912402
51 St & Hobart St,1668,6662.08,40.757764,-73.907654
52 St & 1 Ave,1012,6662.08,40.757764,-73.907654
52 St & 6 Ave,843,3253.01,40.649292,-74.020105
53 St & 2 Ave,2348,3084.05,40.642703,-74.009441
53 St & 4 Ave,4213,3211.06,40.64744,-74.018846
53 St & 5 Ave,1637,3169.07,40.644862,-74.014531
55 St & 5 Ave,1342,3129.08,40.643371,-74.011884
55 St & 7 Ave,2933,3050.03,40.642408,-74.013318
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,2684,2951.05,40.639673,-74.008957
57 St & 4 Ave,2073,3178.02,40.646377,-74.023087
58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,2599,3093.07,40.642622,-74.016866
58 St & 32 Ave,1163,3138.09,40.644512,-74.021506
58 St & Pier 4,236,6579.03,40.75574,-73.903427
59 St & 4 Ave,2604,3220.01,40.646475,-74.026081
59 St & 5 Ave,1184,3011.03,40.641269,-74.017651
6 Ave & 12 St,12389,2961.05,40.640125,-74.015726
6 Ave & 21 St,9066,3803.05,40.666318,-73.985461
6 Ave & 55 St,1071,3628.11,40.66016,-73.990974
6 Ave & 60 St,1680,3000.08,40.640831,-74.010996
6 Ave & 9 St,18634,2912.08,40.638196,-74.013821
6 Ave & Broome St,53346,3803.09,40.668127,-73.983776
6 Ave & Canal St,27725,5610.09,40.724308,-74.00473
6 Ave & W 33 St,96909,5500.07,40.722437,-74.005664
6 Ave & W 34 St,76674,6364.07,40.749013,-73.988484
6 Ave & W 45 St,52348,6364.1,40.74964,-73.98805
6 St & 7 Ave,15978,6593.15,40.756951,-73.982631
62 St & 4 Ave,551,3834.1,40.668662,-73.97988
62 St & Northern Blvd,6416,2923.01,40.639859,-74.019776
63 St & 5 Ave,1063,6536.02,40.754176,-73.900318
64 St & 3 Ave,444,2872.02,40.63766,-74.01782
65 St & 2 Ave,531,2971.02,40.639978,-74.02324
67 St & Erik Pl,1828,3019.02,40.640493,-74.02564
67 St & Ridge Blvd,2560,2733.03,40.633385,-74.016562
7 Ave & 20 St,5105,2932.01,40.638799,-74.027472
7 Ave & 22 St,3059,3588.01,40.659053,-73.98854
7 Ave & 40 St,3876,3515.01,40.658029,-73.989605
7 Ave & 41 St,4981,3266.01,40.648169,-74.000057
7 Ave & Central Park South,91104,3192.05,40.647379,-74.000911
7 Ave & Park Pl,29668,6912.01,40.76674,-73.979068
7 St & 3 Ave,9248,4125.07,40.677614,-73.973242
7 St & 5 Ave,12446,3996.01,40.672602,-73.98983
76 St & 21 Ave,1044,3914.02,40.670492,-73.985416
8 Ave & W 16 St,57697,7032.02,40.77028,-73.893675
8 Ave & W 27 St,28178,6072.11,40.740983,-74.001702
8 Ave & W 31 St,74701,6297.07,40.747968,-73.996637
8 Ave & W 33 St,82245,6450.05,40.750585,-73.994684
8 Ave & W 38 St,68993,6450.12,40.751551,-73.993934
8 Ave & W 49 St,26700,6526.05,40.75461,-73.99177
8 Ave & W 52 St,66270,6747.07,40.76171228,-73.98655102
8 St & Astoria Blvd,3319,6816.07,40.763707,-73.985161
9 Ave & W 18 St,40461,7068.07,40.7726,-73.932663
9 Ave & W 206 St,789,6190.08,40.743174,-74.003664
9 Ave & W 219 St,310,8594.02,40.863089,-73.917583
9 Ave & W 22 St,90183,8696.05,40.871094,-73.911503
9 Ave & W 28 St,786,6266.06,40.745497,-74.001971
9 Ave & W 45 St,62369,6717.06,40.760192,-73.991255
9 St & 44 Rd,6139,6361.03,40.74966,-73.9521
Academy St & Nagle Ave,1182,8579.05,40.862562,-73.922661
Adam Clayton Powell Blvd & W 115 St,12765,7643.18,40.802535,-73.953242
Adam Clayton Powell Blvd & W 118 St,14789,7670.09,40.804372,-73.951475
Adam Clayton Powell Blvd & W 123 St,15487,7704.04,40.807831,-73.949373
Adam Clayton Powell Blvd & W 126 St,26163,7738.04,40.809495,-73.947764
Adam Clayton Powell Blvd & W 130 St,10407,7774.02,40.812346,-73.946168
Adam Clayton Powell Blvd & W 132 St,10540,7814.01,40.813539,-73.94521
