,start_station_name,count,start_station_id,start_lat,start_lng
137,3 Ave & E Tremont Ave,239,8315.03,40.846481323,-73.896142125
138,3 Ave & Franklin Ave,6240,8012.04,40.826991796,-73.907506704
139,3 Ave & Schermerhorn St,23115,4437.01,40.68683208,-73.9796772
140,3 Ave & Wakeman Pl,2357,2883.03,40.638246,-74.024714
141,3 St & 3 Ave,15312,4028.03,40.674880266,-73.987302065
142,3 St & 7 Ave,30875,3905.15,40.670352697,-73.978360772
143,3 St & Hoyt St,10914,4110.1,40.6777287,-73.99364123
144,3 St & Prospect Park West,33243,3865.05,40.668174624,-73.973568082
145,30 Ave & 12 St,5327,7034.09,40.771726131,-73.931587458
146,30 Ave & 21 St,7148,6996.01,40.7703743,-73.9286078
147,30 Ave & 41 St,14099,6812.06,40.763422,-73.914142
148,30 Ave & 47 St,8015,6774.13,40.761294,-73.909562
149,30 Ave & 70 St,568,6727.02,40.76013,-73.89741
150,30 Ave & 80 St,463,6787.02,40.76109,-73.88838
151,30 Ave & 96 St,610,6772.11,40.760902286,-73.873212218
152,30 St & 4 Ave,4617,3564.04,40.657743,-74.001141
153,30 St & 48 Ave,2930,6076.02,40.7413272,-73.937999
154,31 Ave & 103 St,333,6763.08,40.761280298,-73.866580725
155,31 Ave & 14 St,9282,6966.04,40.768311381,-73.932306409
156,31 Ave & 30 St,12424,6857.09,40.7647,-73.9240312
157,31 Ave & 34 St,19408,6819.15,40.763154,-73.920827
158,31 Ave & 57 St,3341,6621.06,40.757357,-73.904726
159,31 Ave & 61 St,3468,6654.05,40.757525,-73.901614
160,31 Ave & 84 St,286,6709.01,40.75947,-73.88431
161,31 Ave & 86 St,849,6709.05,40.75960505,-73.882081866
162,31 Ave & Crescent St,14838,6893.1,40.7658346,-73.9265474
163,31 Ave & Steinway St,17548,6782.01,40.7611488,-73.9170071
164,31 Pl & Hunters Point Ave,1407,6033.01,40.740245342,-73.935353041
165,31 Rd & 21 St,729,6929.02,40.7668612,-73.93062675
166,31 St & 21 Ave,8188,7202.07,40.77813,-73.90842
167,31 St & 23 Ave,12746,7144.01,40.774705529,-73.91225338
168,31 St & Astoria Blvd,14424,6989.07,40.7699176,-73.9184057
169,31 St & Broadway,25514,6789.04,40.761506557,-73.925875783
170,31 St & Ditmars Blvd,24843,7144.02,40.776168,-73.910485
171,31 St & Hoyt Ave N,10857,7018.01,40.7711528,-73.9170074
172,31 St & Newtown Ave,31826,6923.2,40.7675487799971,-73.9209334552288
173,31 St & Northern Blvd,10671,6495.17,40.75186951421875,-73.93349289894103
174,31 St & Thomson Ave,9367,6227.02,40.74469738,-73.93540375
175,32 Ave & 75 St,1209,6645.06,40.756982207,-73.892539024
176,32 Ave & 77 St,931,6603.06,40.75727,-73.89024
177,32 Ave & 81 St,1430,6677.03,40.75763,-73.88682
178,32 Ave & 84 St,829,6636.04,40.75793,-73.88401
179,33 St & 47 Ave,3934,6185.04,40.742907524,-73.932020068
180,33 St & Queens Blvd,5404,6185.07,40.7443653191867,-73.93172398209572
181,34 Ave & 108 St,388,6609.03,40.756291628,-73.860886455
182,34 Ave & 113 St,307,6642.08,40.70814525,-73.99881981666667
183,34 Ave & 13 St,4615,6836.07,40.76393342,-73.936529636
184,34 Ave & 21 St,6453,6798.01,40.762895584,-73.934290886
185,34 Ave & 31 St,10601,6720.07,40.759603739,-73.92707479
186,34 Ave & 38 St,17469,6638.01,40.756913,-73.921631
187,34 Ave & 45 St,6734,6596.1,40.754795,-73.917014
188,34 Ave & 48 St,7064,6554.05,40.75388,-73.914952
189,34 Ave & 71 St,2754,6493.03,40.752589822,-73.895657778
190,34 Ave & 74 St,4796,6451.07,40.75297,-73.89236
191,34 Ave & 83 St,3282,6518.08,40.753751636,-73.884287596
192,34 Ave & 89 St,1401,6552.07,40.754397869,-73.878159761
193,34 Ave & Junction Blvd,1078,6585.11,40.754970551,-73.873096466
194,34 St & 35 Ave,10283,6605.08,40.7569332,-73.9262231
195,34 St & 38 Ave,7165,6453.02,40.752340198,-73.929895401
196,34 St & 4 Ave,5016,3492.04,40.655278,-74.003101
197,34 St & 48 Ave,2492,6110.01,40.740821207823245,-73.93147185444832
198,34 St & 5 Ave,1980,3451.01,40.654143572,-74.00115478
199,34th Ave & Vernon Blvd,11343,6873.01,40.76535380385866,-73.93986314535141
200,35 Ave & 10 St,9982,6806.06,40.76315481910373,-73.93985509872437
201,35 Ave & 37 St,13595,6563.12,40.75567627,-73.923612952
202,35 St & 21 Ave,5052,7170.04,40.776621819,-73.906472802
203,35 St & 23 Ave,6848,7047.07,40.77301508291382,-73.91119033098221
204,35 St & 30 Ave,14185,6887.03,40.76547569244953,-73.91811579465866
205,35 St & 34 Ave,8829,6679.11,40.7580583,-73.9242751
206,35 St & Broadway,14910,6750.16,40.760318995,-73.922451377
207,36 Ave & 10 St,8110,6737.03,40.7614376,-73.9411265
208,36 Ave & 31 St,17671,6572.08,40.756431103,-73.929242253
209,36 St & 3 Ave,7698,3460.02,40.655756712,-74.006700635
210,36 St & 4 Ave,9913,3420.01,40.654144,-74.00422
211,36 St & 47 Ave,2478,6143.01,40.742171884,-73.929139972
212,36 St & Ditmars Blvd,9990,7111.1,40.774377823,-73.908447981
213,36 St & Hunters Point Ave,2096,5992.02,40.73781699881193,-73.93024072051048
214,36 St & Queens Blvd,5365,6260.04,40.74408,-73.92901
215,37 Ave & 106 St,325,6533.02,40.754001737,-73.861851573
216,37 Ave & 113 St,308,6524.09,40.754708529,-73.855058551
217,37 Ave & 35 St,6067,6529.02,40.7531106,-73.9279917
218,37 Ave & 63 St,2714,6340.09,40.74893,-73.89981
219,37 St & 24 Ave,6081,6981.16,40.7701477,-73.9120938
220,38 Ave & 29 St,9640,6538.11,40.75473,-73.93367
221,38 St & 30 Ave,19615,6850.01,40.764174520197685,-73.91583994030952
222,38 St & Northern Blvd,4432,6486.07,40.752372,-73.925384
223,39 Ave & 45 St,4386,6401.03,40.74947822183477,-73.91826465725897
224,39 Ave & 54 St,1667,6392.02,40.74891,-73.90899
225,39 Ave & 56 St,2996,6349.03,40.74838,-73.90699
226,39 Ave & 99 St,408,6380.10,40.74962,-73.86677
227,39 Dr & 52 St,5237,6316.05,40.747369766,-73.911847353
228,39 St & 47 Ave,5406,6143.05,40.74215636827728,-73.92662644386292
229,39 St & 50 Ave,5278,6025.08,40.738089681,-73.927407861
230,39 St & Queens Blvd,7664,6218.04,40.74431,-73.92601
231,4 Ave & 17 St,6925,3739.06,40.665146708,-73.992610455
232,4 Ave & 26 St,5315,3596.04,40.660079,-73.998633
233,4 Ave & 3 St,18742,4028.04,40.673746,-73.985649
234,4 Ave & 9 St,3790,3955.05,40.670717359,-73.988749146
