end_station_name,count,end_station_id,end_lat,end_lng
35 Ave & 37 St,7753,6563.12,40.7557327,-73.9236611
35 St & 21 Ave,2159,7170.04,40.776745,-73.906558
35 St & 23 Ave,4688,7047.07,40.773015,-73.91119
35 St & 30 Ave,10945,6887.03,40.765476,-73.918116
35 St & 34 Ave,6588,6679.11,40.7580583,-73.9242751
35 St & Broadway,10396,6750.16,40.760339,-73.9222427
36 Ave & 10 St,6817,6737.03,40.7614376,-73.9411265
36 Ave & 31 St,11601,6572.08,40.75651273,-73.92957486
36 St & 3 Ave,5115,3460.02,40.655716,-74.006664
36 St & 4 Ave,4858,3420.01,40.654144,-74.00422
36 St & Ditmars Blvd,5487,7111.1,40.774306,-73.908335
37 Ave & 35 St,3742,6529.02,40.753111,-73.927992
37 St & 24 Ave,4262,6981.16,40.7701477,-73.9120938
38 Ave & 29 St,7244,6538.11,40.75473,-73.93367
38 St & 30 Ave,12120,6850.01,40.764175,-73.91584
38 St & Northern Blvd,2794,6486.07,40.752372,-73.925384
39 St & 2 Ave,2319,3501.01,40.6554,-74.010628
4 Ave & 17 St,4782,3739.06,40.665507,-73.993037
4 Ave & 26 St,3133,3596.04,40.660079,-73.998633
4 Ave & 3 St,10554,4028.04,40.673746,-73.985649
4 Ave & 9 St,13441,3955.05,40.6705135,-73.98876585
4 Ave & E 12 St,51257,5788.15,40.732647,-73.99011
4 Ave & Shore Road Dr,2949,2832.03,40.637033,-74.022141
40 Ave & 9 St,5585,6664.05,40.75742,-73.945133
40 Ave & Crescent St,5885,6462.05,40.7535992,-73.93795609
41 St & 3 Ave,728,3388.02,40.652512,-74.008906
41 St & 4 Ave,3042,3347.03,40.651354,-74.007168
42 Pl & Northern Blvd,2941,6520.07,40.753091,-73.920603
42 St & 1 Ave,1702,3428.02,40.654798,-74.014372
43 St & 23 Ave,1821,7009.06,40.769673,-73.906018
43 St & 35 Ave,1985,6520.06,40.754139,-73.919543
43 St & 37 Ave,7284,6401.01,40.750181,-73.919998
43 St & Broadway,7094,6670.03,40.7577284,-73.9166368
44 Dr & 21 St,13617,6278.04,40.748,-73.9460927
44 Dr & Jackson Ave,21232,6352.01,40.74718234,-73.9432635
44 St & 2 Ave,1304,3356.05,40.652502,-74.013587
44 St & 3 Ave,1258,3315.05,40.651173,-74.011405
44 St & 6 Ave,2273,3233.06,40.647105,-74.004483
45 Ave & 21 St,2224,4455.1,40.68825517,-73.99545193
45 Rd & 11 St,15602,6319.07,40.74737076,-73.94777298
45 St & 4 Ave,3118,6319.01,40.74708586,-73.94977234
46 Ave & 5 St,27465,3275.03,40.649145,-74.009486
46 St & 25 Ave,2569,6286.02,40.74731,-73.95451
46 St & 28 Ave,2818,6907.03,40.765753,-73.90676
46 St & 30 Rd,2339,6842.02,40.763328,-73.908782
46 St & 6 Ave,1167,6703.06,40.76072,-73.910989
46 St & 7 Ave,2789,3161.02,40.645921,-74.005708
47 Ave & 31 St,7402,3117.05,40.644743,-74.003754
47 Ave & Skillman Ave,1618,6151.03,40.743,-73.93561
47 St & 3 Ave,995,6237.01,40.74375241,-73.94176483
48 Ave & 30 Pl,3347,3243.02,40.649143,-74.012384
48 Ave & 31 St,153,6076.01,40.74128309,-73.93725872
48 Ave & 5 St,8490,6151.05,40.74133,-73.93616
48 St & 2 Ave,870,6212.04,40.744363,-73.955873
48 St & 37 Ave,6781,3283.05,40.650176,-74.015606
48 St & 5 Ave,2016,6435.02,40.751555,-73.915026
48 St & Broadway,6087,3202.06,40.646351,-74.009271
49 Ave & 21 St,6272,6629.06,40.755763,-73.912715
49 St & 25 Ave,873,6128.04,40.74252,-73.948852
49 St & 31 Ave,3060,6804.01,40.764496,-73.904632
5 Av & W 139 St,8876,6662.01,40.758057,-73.909831
5 Ave & 3 St,24250,7851.04,40.815484,-73.935856
5 Ave & 37 St,2657,3987.06,40.6728155,-73.98352355
5 Ave & 41 St,5320,3379.03,40.652657,-74.002356
5 Ave & 66 St,2333,3306.03,40.649983,-74.005144
5 Ave & 67 St,43,2782.02,40.635679,-74.020005
5 Ave & E 103 St,34150,2782.02,40.635679,-74.020005
5 Ave & E 126 St,4220,7511.19,40.7922553,-73.95249933
5 Ave & E 135 St,7395,7701.19,40.80698,-73.941747
5 Ave & E 29 St,58279,7769.06,40.812191,-73.937838
5 Ave & E 63 St,32347,6248.06,40.7451677,-73.98683077
5 Ave & E 72 St,73714,6904.06,40.766368,-73.971518
5 Ave & E 78 St,46116,7100.07,40.77282817,-73.96685276
5 Ave & E 87 St,21556,7161.08,40.776321,-73.964274
5 Ave & E 88 St,4842,7323.09,40.78231448,-73.95980537
5 Ave & E 93 St,43207,7323.1,40.78307,-73.95939
5 Ave & W 126 St,6949,7372.1,40.7857851,-73.957481
5 Ave & W 131 St,8649,7701.21,40.80722,-73.9418
5 Corners Library,3,7735.05,40.81014,-73.93973
5 St & 51 Ave,4686,JC018,40.73496102,-74.05950308
5 St & 6 Ave,9358,6137.04,40.7423737,-73.9566
5 St & Market St,467,3874.01,40.6704836,-73.98208968
50 St & 30 Ave,3474,4843.01,40.69999748,-73.97440128
50 St & Northern Blvd,3515,6735.03,40.760083,-73.907107
51 St &  Hobart St,146,6511.03,40.753441,-73.912402
51 St & Hobart St,1683,6662.08,40.757764,-73.907654
52 St & 1 Ave,1282,6662.08,40.757764,-73.907654
52 St & 6 Ave,807,3253.01,40.649292,-74.020105
53 St & 2 Ave,2450,3084.05,40.642703,-74.009441
53 St & 4 Ave,4225,3211.06,40.64744,-74.018846
53 St & 5 Ave,1619,3169.07,40.644862,-74.014531
55 St & 5 Ave,1325,3129.08,40.643371,-74.011884
55 St & 7 Ave,2627,3050.03,40.642408,-74.013318
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,2717,2951.05,40.639673,-74.008957
57 St & 4 Ave,2086,3178.02,40.646377,-74.023087
58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,2738,3093.07,40.642622,-74.016866
58 St & 32 Ave,1213,3138.09,40.644512,-74.021506
58 St & Pier 4,287,6579.03,40.75574,-73.903427
59 St & 4 Ave,2581,3220.01,40.646475,-74.026081
59 St & 5 Ave,1133,3011.03,40.641269,-74.017651
6 Ave & 12 St,12426,2961.05,40.640125,-74.015726
6 Ave & 21 St,9048,3803.05,40.6663181,-73.9854617
