,end_station_name,count,end_station_id,end_lat,end_lng
364,57 St & Woodside Ave,3170,6234.01,40.75,-73.91
365,58 St & 2 Ave,2154,3138.09,40.644512,-74.021506
366,58 St & 32 Ave,1971,6579.03,40.75574,-73.903427
367,58 St & 56 Dr,963,5548.01,40.72419,-73.91244
368,58 St & Pier 4,2587,3220.01,40.646475,-74.026081
369,59 St & 4 Ave,5211,3011.03,40.641269,-74.017651
370,59 St & 5 Ave,2305,2961.05,40.640125,-74.015726
371,59 St & 59 Rd,554,5401.03,40.71790852734058,-73.908454477787
372,6 Ave & 12 St,15986,3803.05,40.6663181,-73.9854617
373,6 Ave & 21 St,16933,3628.11,40.66016,-73.990974
374,6 Ave & 55 St,2082,3000.08,40.640831,-74.010996
375,6 Ave & 60 St,1446,2912.08,40.638196,-74.013821
376,6 Ave & 9 St,29451,3803.09,40.668127,-73.98377641
377,6 Ave & Broome St,49409,5610.09,40.72431,-74.00473
378,6 Ave & Canal St,27181,5500.07,40.72243797,-74.00566443
379,6 Ave & W 33 St,101621,6364.07,40.74901271,-73.98848395
380,6 Ave & W 34 St,84825,6364.10,40.74964,-73.98805
381,6 Ave & W 45 St,61559,6593.15,40.756951,-73.982631
382,6 Ave & Walker St,30760,5430.10,40.7197920901383,-74.0052238852195
383,6 St & 7 Ave,24536,3834.10,40.6686627,-73.97988067
384,6 St & Grand St,15,HB302,40.7443978330956,-74.03450086712837
385,60 Ave & Fresh Pond Rd,1178,5321.08,40.71693,-73.90198
386,60 Ave & Junction Blvd,169,5878.02,40.73466,-73.86501
387,60 Ave & Otis Ave,374,5945.01,40.73715,-73.85614
388,60 Pl & 67 Ave,1221,4985.09,40.70497,-73.89965
389,60 Pl & Bleecker St,1794,5138.03,40.71,-73.9
390,60 Pl & Flushing Ave,795,5431.01,40.71988,-73.90556
391,60 Pl & Linden St,2341,5097.02,40.70886,-73.90182
392,60 St & 37 Ave,1503,6383.02,40.74958,-73.90256
393,60 St & 60 Rd,1682,5360.02,40.71592232709503,-73.90601366758347
394,61 St & 39 Ave,8346,6307.07,40.7471,-73.9028
395,61 St & 60 Ln,1580,4830.02,40.70055,-73.8943
396,61 St & Borden Ave,543,5611.04,40.72558,-73.90417
397,61 St & Laurel Hill Blvd,1600,5998.09,40.7388,-73.90338
398,61 St & Queens Blvd,4178,6116.03,40.74091,-73.90273
399,61 St & Woodside Ave,9388,6191.06,40.74501,-73.9036
400,62 St & 34 Ave,2520,6460.06,40.75201,-73.89986
401,62 St & 4 Ave,1490,2923.01,40.639859,-74.019776
402,62 St & 43 Ave,2166,6191.04,40.74261,-73.903
403,62 St & Northern Blvd,3903,6536.02,40.754176,-73.900318
404,63 St & 5 Ave,956,2872.02,40.63766,-74.01782
405,63 St & 59 Dr,1097,5392.04,40.71832,-73.90128
406,63 St & Borden Ave,724,5611.05,40.73,-73.9
407,64 St & 3 Ave,542,2971.02,40.639978,-74.02324
408,64 St & 51 Ave,1664,5956.04,40.73577,-73.90184
409,64 St & 53 Dr,1717,5688.02,40.72897,-73.90115
410,64 St & Woodbine St,2815,5057.09,40.70809,-73.89549
411,65 Ln & Metropolitan Ave,1915,5199.01,40.71,-73.89
412,65 Pl & 53 Ave,137,5764.02,40.73145,-73.90022
413,65 Pl & Woodside Ave,2565,6149.02,40.74334,-73.89903
414,65 St & 2 Ave,605,3019.02,40.640493,-74.02564
415,65 St & 35 Ave,2970,6417.04,40.75053,-73.8977
416,65 St & Broadway,3327,6417.11,40.7493722738996,-73.89738768339157
417,65 St & Otto Rd,2403,4977.03,40.70389,-73.89116
418,65 St & Roosevelt Ave,2312,6267.08,40.74589,-73.89915
419,67 Ave & Fresh Pond Rd,4131,5057.07,40.70575,-73.89676
420,67 St & Erik Pl,2393,2733.03,40.633385,-74.016562
421,69 St & 38 Ave,4014,6298.04,40.74694504524519,-73.89650255441666
422,69 St & 43 Ave,2247,6108.03,40.74179,-73.89564
423,7 Ave & 17 St,8356,3660.07,40.66093779493168,-73.98680448532104
424,7 Ave & 20 St,7652,3588.01,40.659053,-73.98854
425,7 Ave & 22 St,4393,3515.01,40.658029,-73.989605
426,7 Ave & 40 St,5257,3266.01,40.648169,-74.000057
427,7 Ave & 41 St,9474,3192.05,40.647379,-74.000911
428,7 Ave & 62 St,3396,2821.05,40.63556,-74.01298
429,7 Ave & Central Park South,89582,6912.01,40.7667405590595,-73.9790689945221
430,7 Ave & Park Pl,44435,4125.07,40.6776147,-73.97324283
431,7 Ave & W 55 St,32865,6847.05,40.764126,-73.980973
432,7 Ave S & Bleecker St,56438,5805.07,40.73213896287381,-74.00363802909851
433,7 St & 3 Ave,13920,3996.01,40.67260298150126,-73.98983001708984
434,7 St & 5 Ave,17404,3914.02,40.6704922,-73.98541675
435,7 St & Monroe St,2,HB304,40.74641264837719,-74.03797701001167
436,71 Ave & Myrtle Ave,4939,4871.02,40.70067,-73.89907
437,71 St & 32 Ave,2063,6612.09,40.75675,-73.89595
438,71 St & 37 Ave,1178,6374.05,40.7488,-73.89451
439,72 St & 41 Ave,4653,6258.03,40.7448,-73.89377
440,72 St & Broadway,2085,6258.02,40.74751,-73.89372
441,72 St & Northern Blvd,1633,6570.06,40.75473,-73.89458
442,72 St & Woodside Ave,3346,6141.02,40.74288,-73.89283
443,73 St & 25 Ave,812,6757.03,40.76205,-73.895
444,74 St & 37 Ave,6945,6332.06,40.74908,-73.89172
445,74 St & Woodside Ave,72,6216.01,40.74325,-73.89079
446,75 St & 35 Ave,1108,6408.08,40.75091,-73.89111
447,75 St & Northern Blvd,406,6527.07,40.75473,-73.8918
448,75 St & Roosevelt Ave,6335,6332.09,40.7468,-73.89038
449,76 St & 21 Ave,3199,7032.02,40.77028,-73.893675
450,76 St & 45 Ave,625,6099.02,40.7411,-73.88837
451,77 St & 24 Ave,1044,6825.03,40.76428,-73.89156
452,77 St & 31 Ave,1993,6718.02,40.75886,-73.89081
453,78 St & Northern Blvd,390,6603.07,40.75499,-73.88905
454,79 St & 37 Ave,3230,6365.10,40.74937,-73.88714
455,79 St & Roosevelt Ave,490,6290.13,40.74718,-73.88675
456,79 St & Woodside Ave,258,6174.03,40.74364,-73.88622
457,8 Ave & W 16 St,90471,6072.11,40.740983,-74.001702
458,8 Ave & W 24 St,44126,6224.06,40.74591072834279,-73.99807110428809
459,8 Ave & W 27 St,43876,6297.07,40.747968,-73.996637
460,8 Ave & W 31 St,88718,6450.05,40.7505853470215,-73.9946848154068
461,8 Ave & W 33 St,88960,6450.12,40.751551,-73.993934
462,8 Ave & W 38 St,69559,6526.05,40.75461,-73.99177
463,8 Ave & W 49 St,78451,6747.07,40.76171227910671,-73.98655101656914
